MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
10:be:f5:fd:11:39,Gateway,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-04-23 12:37:57,1,-29,23.745743217878,90.418363250792,-27,6.5,WIFI
60:32:b1:dd:f3:12,MPPJA,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-04-23 12:37:57,3,-49,23.745743217878,90.418363250792,-27,6.5,WIFI
50:d4:f7:0b:6a:74,BTS Army,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-04-23 12:37:57,9,-73,23.745743217878,90.418363250792,-27,6.5,WIFI
cc:2d:21:68:80:18,Akash WiFi,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-04-23 12:37:57,11,-79,23.745743217878,90.418363250792,-27,6.5,WIFI
c8:e7:d8:6b:3e:d4,Srabon Ahmed ,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS],2021-04-23 12:37:57,1,-85,23.745743217878,90.418363250792,-27,6.5,WIFI
3c:84:6a:88:9d:48,Mafin,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-04-23 12:37:57,11,-85,23.745743217878,90.418363250792,-27,6.5,WIFI
8c:53:c3:90:f7:ef,Life Line,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],2021-04-23 12:37:57,2,-85,23.745743217878,90.418363250792,-27,6.5,WIFI
c8:e7:d8:6d:e5:66,Azad,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-04-23 12:37:57,13,-89,23.745743217878,90.418363250792,-27,6.5,WIFI
47002_5056_33820684,Axiata Bangladesh Ltd.,UNKNOWN,2021-04-23 12:37:57,1387,-113,23.745743217878,90.418363250792,-27,6.5,GSM
47002_5056_33820684,Axiata Bangladesh Ltd.,UNKNOWN,2021-04-23 12:37:57,1387,-89,23.745743217878,90.418363250792,-27,6.5,GSM
